,Unnamed: 0,Event Type,Valid Date,Valid Time,State,Cities,Counties,Dirty
975,3049,Severe Weather,4/8/2020,1:21:00,Ohio,,,
976,3050,Severe Weather,4/9/2020,19:25:00,Texas,,Harris County;,
977,3051,Severe Weather,4/9/2020,19:40:00,Maine,,,
979,3057,Severe Weather,4/12/2020,20:45:00,Arkansas,,,
980,3058,Severe Weather,4/12/2020,13:00:00,Louisiana,,"Acadia Parish, Iberville Parish, Jefferson Davis Parish, Concordia Parish, Winn Parish, Catahoula Parish, Terrebonne Parish, St. Mary Parish;",
981,3059,Severe Weather,4/12/2020,20:30:00,Arkansas,,,
982,3060,Severe Weather,4/12/2020,21:28:00,Virginia: West Virginia:,,,
983,3061,Severe Weather,4/12/2020,17:00:00,Mississippi: Alabama: Georgia:,,,
984,3062,Severe Weather,4/12/2020,18:13:00,Texas,,,
985,3063,Severe Weather,4/13/2020,3:30:00,North Carolina: South Carolina:,,,
986,3064,Severe Weather,4/13/2020,0:45:00,Tennessee,,Hamilton County;,
987,3065,Severe Weather,4/13/2020,8:08:00,South Carolina,,,
988,3066,Severe Weather,4/13/2020,10:25:00,North Carolina,,,
989,3067,Severe Weather,4/13/2020,13:05:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,,,
990,3068,Severe Weather,4/13/2020,7:31:00,North Carolina: South Carolina:,,,
994,3073,Severe Weather,4/20/2020,0:59:00,Alabama: Mississippi: Georgia: Florida:,,,
995,3074,Severe Weather,4/23/2020,4:30:00,Mississippi: Arkansas: Louisiana:,,,
996,3075,Severe Weather,4/23/2020,8:00:00,Alabama: Georgia: Mississippi: Florida:,,,
999,3079,Severe Weather,4/26/2020,1:38:00,Florida,,,
1000,3081,Severe Weather,4/29/2020,6:00:00,Louisiana,,,
1001,3082,Severe Weather,4/29/2020,5:55:00,Texas,,Harris County;,
1002,3083,Severe Weather,4/30/2020,15:00:00,Pennsylvania,,"Bucks County, Chester County, Delaware County, Montgomery County, Philadelphia County, York County;",
1003,3084,Severe Weather,5/4/2020,11:59:00,Tennessee,,Davidson County;,
1006,3089,Severe Weather,5/15/2020,17:55:00,New York,,Saratoga County;,
1010,3097,Severe Weather,5/22/2020,16:35:00,North Carolina: South Carolina:,,,
1011,3098,Severe Weather,5/24/2020,16:45:00,Central Oklahoma,,,
1012,3100,Severe Weather,5/27/2020,17:15:00,Texas,,Harris County;,
1013,3101,Severe Weather,5/27/2020,17:20:00,Texas,,,
1018,3109,Severe Weather,6/3/2020,13:00:00,New Jersey,,,
1019,3110,Severe Weather,6/3/2020,12:30:00,Pennsylvania,,"Bucks County, Chester County, Delaware County, Montgomery County, Philadelphia County, York County;",
1020,3112,Severe Weather,6/3/2020,13:36:00,New Jersey,,,
1021,3114,Severe Weather,6/10/2020,19:30:00,Michigan,,"Oakland County, Macomb County, Wayne County, Sanilac County, Tuscola County, Huron County, Lapeer County, Livingston County, Monroe County;",
1022,3115,Severe Weather,6/10/2020,12:22:00,Michigan,,"Gratiot County, Lake County, Missaukee County, Benzie County, Leelanau County, Manistee County, Wexford County, Montcalm County, Kent County, Ottawa County, Van Buren County, St. Joseph County, Arenac County, Saginaw County, Calhoun County, Branch County;",
1023,3116,Severe Weather,6/10/2020,17:24:00,Ohio: Indiana: Kentucky: West Virginia:,,,
1027,3125,Severe Weather,6/27/2020,16:00:00,Alabama: Georgia:,,,
1029,3138,Severe Weather,7/11/2020,23:30:00,Oklahoma: Arkansas:,,,
1030,3139,Severe Weather,7/11/2020,21:30:00,Oklahoma,,,
1031,3141,Severe Weather,7/12/2020,4:30:00,Texas,,"Collin County, Dallas County, Denton County, Rockwall County, Tarrant County;",
1033,3149,Severe Weather,7/19/2020,14:30:00,Michigan,,,
1035,3155,Severe Weather,7/25/2020,21:00:00,Texas,,"Hidalgo County, Cameron County, Starr County, Kenedy County, Willacy County, Brooks County, Jim Hogg County;",
1036,3156,Severe Weather,7/25/2020,19:58:00,Texas,,"Nueces County, Kleberg County, Cameron County, Willacy County, Hidalgo County, Starr County, Kenedy County;",
